Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,243",6.9,26%,33 : 67
2,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"19,919",11.6,34%,46:54:00
3,Stanford UniversityUnited StatesCoursesExplore,"15,596",7.8,22%,42:58:00
4,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"18,812",11.8,34%,46:54:00
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,074",9,33%,37 : 63
6,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"20,152",8.9,25%,n/a
7,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"7,929",8.4,27%,45:55:00
8,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"15,060",11.7,51%,37 : 63
9,ETH ZurichSwitzerlandCourses,"18,178",14.7,37%,31 : 69
10,The University of ChicagoUnited StatesCoursesExplore,"14,221",6.9,20%,42:58:00
11,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"15,128",3.6,23%,50:50:00
12,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"11,751",4.4,20%,50:50:00
13,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","36,186",16.4,15%,50:50:00
14,UCLUnited KingdomCoursesEnquireAdmissions Support,"26,607",10.7,46%,56:44:00
15,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"25,055",5.9,28%,n/a
16,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","38,206",10.3,15%,52:48:00
17,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,376",6.5,20%,51:49:00
18,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"21,424",10.2,19%,48:52:00
19,University of TorontoCanadaCoursesEnquireExplore,"66,198",19.5,15%,n/a
20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,172",4.8,17%,49:51:00
21,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"41,786",9,16%,48:52:00
22,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"11,885",13.1,35%,39 : 61
23,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"9,233",12.1,70%,53:47:00
24,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"25,774",14.1,36%,58:42:00
25,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"18,334",13.8,15%,48:52:00
26,National University of SingaporeSingaporeCoursesExplore,"31,592",15.5,34%,49:51:00
27,King’s College LondonUnited KingdomCoursesAdmissions Support,"21,394",11.4,37%,61:39:00
28,Karolinska InstituteSwedenCoursesVerify Documents,"7,774",11.5,22%,70:30:00
29,LMU MunichGermanyCoursesExplore,"35,691",15.5,13%,62:38:00
30,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"42,056",6.8,19%,55:45:00
31,École Polytechnique Fédérale de LausanneSwitzerlandCourses,"9,666",10.5,54%,27 : 73
32,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"44,020",11.8,13%,53:47:00
33,University of MelbourneAustraliaCoursesEnquire,"40,128",23.7,35%,55:45:00
34,University of British ColumbiaCanadaCoursesEnquire,"50,152",17.6,25%,54:46:00
35,KU LeuvenBelgiumCoursesExplore,"42,503",41.9,18%,54:46:00
36,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,"42,727",18.7,20%,47:53:00
37,Heidelberg UniversityGermanyCourses,"28,881",24.5,17%,55:45:00
38,McGill UniversityCanadaCoursesEnquire,"31,326",13.7,23%,56:44:00
39,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","27,233",6.5,11%,48:52:00
40,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","22,020",27.3,11%,52:48:00
41,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"19,967",20.1,26%,31 : 69
42,Peking UniversityChinaCoursesExplore,"40,148",8.3,14%,n/a
43,The University of TokyoJapanCourses,"26,199",5.7,10%,n/a
44,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support","35,364",13.9,13%,54:46:00
45,University of Hong KongHong KongCoursesExplore,"19,835",17.6,38%,53:47:00
46,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,"49,427",17.4,9%,51:49:00
47,Tsinghua UniversityChinaCoursesExplore,"39,763",13.7,10%,32 : 68
48,Wageningen University & ResearchNetherlandsCourses,"9,248",17,21%,56:44:00
49,Humboldt University of BerlinGermanyCourses,"29,987",52.5,16%,n/a
50,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,"39,655",10.8,11%,51:49:00
51,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,"8,653",10.1,19%,n/a
52,Australian National UniversityAustraliaCoursesEnquire,"14,604",19.2,35%,52:48:00
53,Technical University of MunichGermanyCoursesVerify Documents,"35,565",31.5,20%,33 : 67
54,École Normale SupérieureFranceCourses,"2,400",7.9,20%,46:54:00
55,"Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,028",16.2,33%,48:52:00
56,University of ManchesterUnited KingdomCoursesEnquireExplore,"34,938",15.3,34%,52:48:00
57,University of SydneyAustraliaCourses,"41,868",20.2,28%,57:43:00
58,University of AmsterdamNetherlandsCoursesExplore,"24,570",14.4,11%,53:47:00
